"DNS Tested","Target Website","Query Times (ms)","Date Tested","Frequency Tested","Avg Query Time"
"Google Secondary DNS","www.hbomax.com","137.9, 141.07, 136.02, 134.83, 137.59, 137.53, 137.81, 141.23, 137.77, 136.07","2026-06-27","10","137.78"
"Quad9 Primary DNS","www.facebook.com","127.23, 128.07, 126.98, 125.75, 127.14, 127.03, 128.52, 128.33, 126.71, 128.87","2026-06-27","10","127.46"
"Quad9 Primary DNS","www.google.com","126.7, 127.18, 124.29, 124.39, 128.5, 126.36, 127.72, 125.5, 128.69, 128.89","2026-06-27","10","126.82"
"Quad9 Primary DNS","www.amazon.com","127.11, 126.09, 131.4, 129.22, 127.03, 127.03, 130.75, 127.29, 127.22, 127.73","2026-06-27","10","128.09"
"Quad9 Primary DNS","www.nos.nl","463.58, 273.81, 137.15, 128.34, 129.03, 124.34, 127.18, 127.29, 126.32, 126.56","2026-06-27","10","176.36"
"Quad9 Primary DNS","www.bbc.co.uk","417.96, 129.94, 126.9, 224.45, 128.56, 127.89, 127.01, 133.11, 128.47, 124.89","2026-06-27","10","166.92"
"Quad9 Primary DNS","www.github.com","127, 127.71, 128.57, 127.43, 127.92, 127.37, 127.59, 127.51, 127.63, 127.18","2026-06-27","10","127.59"
"Quad9 Primary DNS","www.netflix.com","125.9, 127.98, 127.17, 128.66, 129.41, 127.47, 130.62, 128.42, 127.37, 128.99","2026-06-27","10","128.2"
"Quad9 Primary DNS","www.hbomax.com","127.72, 128.09, 129.86, 127.76, 127.67, 139.1, 127.52, 127.06, 126.84, 127.76","2026-06-27","10","128.94"
"Quad9 Secondary DNS","www.facebook.com","124.05, 127.72, 128.26, 127.57, 131.41, 127.46, 129.47, 129.67, 126.92, 124.26","2026-06-27","10","127.68"
"Quad9 Secondary DNS","www.google.com","127.91, 125.86, 128.99, 125.76, 126.99, 125.95, 126.62, 126.84, 127.73, 126.61","2026-06-27","10","126.92"
"Quad9 Secondary DNS","www.amazon.com","126.49, 129.43, 127.59, 127.48, 127.76, 128.13, 128.71, 124.87, 126.44, 128.86","2026-06-27","10","127.58"
"Quad9 Secondary DNS","www.nos.nl","128.27, 126.22, 126.98, 127.13, 126.95, 127.37, 128.02, 127.33, 127.81, 128.75","2026-06-27","10","127.48"
"Quad9 Secondary DNS","www.bbc.co.uk","423.99, 127.17, 125.28, 126.53, 127.21, 127.54, 128.22, 126.61, 128.75, 128.86","2026-06-27","10","157.02"
"Quad9 Secondary DNS","www.github.com","127.57, 127.03, 128.02, 127.05, 127.21, 133.09, 128.67, 129.6, 127.92, 125.78","2026-06-27","10","128.19"
"Quad9 Secondary DNS","www.netflix.com","126.58, 127.08, 129.56, 127.66, 124.08, 127.43, 129.53, 128.68, 126.9, 128.25","2026-06-27","10","127.57"
"Quad9 Secondary DNS","www.hbomax.com","132.83, 127.27, 125.26, 127.42, 126.94, 128.6, 127.51, 126.11, 126.42, 131.72","2026-06-27","10","128.01"
"NextDNS Primary DNS","www.facebook.com","46.55, 46.44, 47.98, 45.79, 48.93, 44.2, 48.1, 51.2, 47.28, 45.12","2026-06-27","10","47.16"
"NextDNS Primary DNS","www.google.com","47.4, 46.81, 47.08, 46.1, 46.66, 47.05, 43.25, 46.19, 46.55, 46.04","2026-06-27","10","46.31"
"NextDNS Primary DNS","www.amazon.com","43.94, 47.59, 47.32, 46.74, 48.3, 45.55, 46.04, 47.18, 47.35, 47.56","2026-06-27","10","46.76"
"NextDNS Primary DNS","www.nos.nl","199.71, 46.24, 47.15, 45.32, 47.45, 47.17, 46.58, 47.25, 46.38, 47.47","2026-06-27","10","62.07"
"NextDNS Primary DNS","www.bbc.co.uk","111.87, 46.45, 46.83, 45.78, 45.77, 45.71, 45.79, 47.83, 46.82, 46.28","2026-06-27","10","52.91"
"NextDNS Primary DNS","www.github.com","104.2, 46.02, 46.77, 46.1, 46.84, 45.82, 45.67, 46.85, 46.05, 46.98","2026-06-27","10","52.13"
"NextDNS Primary DNS","www.netflix.com","47.15, 46.75, 45.76, 46.23, 43.87, 45.99, 45.47, 48.04, 48.38, 46.57","2026-06-27","10","46.42"
"NextDNS Primary DNS","www.hbomax.com","142.99, 46.12, 45.45, 45.09, 46.85, 46.61, 45.32, 47.57, 49.17, 47.51","2026-06-27","10","56.27"
"NextDNS Secondary DNS","www.facebook.com","47.26, 46.12, 45.56, 48.19, 47.18, 47.23, 45.95, 46.82, 46.98, 45.66","2026-06-27","10","46.69"
"NextDNS Secondary DNS","www.google.com","45.44, 46.33, 46.35, 48.63, 47.3, 45.17, 47.96, 46.09, 44.05, 45.69","2026-06-27","10","46.3"
"NextDNS Secondary DNS","www.amazon.com","48.38, 46.15, 48.44, 46.77, 45.8, 46.44, 45.47, 46.03, 46.06, 47.62","2026-06-27","10","46.72"
"NextDNS Secondary DNS","www.nos.nl","153.35, 45.09, 45.33, 43, 45.83, 48.4, 49.02, 48.19, 46.61, 46.27","2026-06-27","10","57.11"
"NextDNS Secondary DNS","www.bbc.co.uk","54.52, 45.99, 45.61, 45.97, 46.35, 47.16, 46.19, 46.18, 47.49, 48.23","2026-06-27","10","47.37"
"NextDNS Secondary DNS","www.github.com","45.55, 46.05, 47.37, 45.32, 46.17, 46.77, 47.23, 46.32, 45.63, 46.79","2026-06-27","10","46.32"
"NextDNS Secondary DNS","www.netflix.com","46.64, 46.59, 45.32, 45.48, 46.5, 47.52, 43.61, 49.29, 48.81, 45.29","2026-06-27","10","46.51"
"NextDNS Secondary DNS","www.hbomax.com","146.99, 46.55, 52.45, 47.9, 47.06, 44.81, 49.27, 47.04, 43.55, 44.22","2026-06-27","10","56.98"
"OpenDNS Primary DNS","www.facebook.com","126.74, 94.87, 125.7, 89.97, 46.72, 125.35, 89.34, 44.12, 46.82, 46.4","2026-06-27","10","83.6"
"OpenDNS Primary DNS","www.google.com","79.9, 74.18, 77.23, 81.79, 79.4, 46.48, 80.36, 43.18, 82.19, 52.47","2026-06-27","10","69.72"
"OpenDNS Primary DNS","www.amazon.com","49.62, 53.07, 94.27, 52.45, 56.25, 52.27, 50.25, 46.53, 46.02, 101.31","2026-06-27","10","60.2"
"OpenDNS Primary DNS","www.nos.nl","175.74, 120.42, 119.39, 279.41, 56.48, 171.24, 43.22, 569.79, 266.52, 400.92","2026-06-27","10","220.31"
"OpenDNS Primary DNS","www.bbc.co.uk","251.32, 148.68, 56.5, 47.09, 47.02, 42.65, 48.79, 47.13, 46.31, 46.51","2026-06-27","10","78.2"
"OpenDNS Primary DNS","www.github.com","49.06, 47.98, 50.45, 48.56, 49.54, 45.8, 46.77, 46.21, 46.19, 46.45","2026-06-27","10","47.7"
"OpenDNS Primary DNS","www.netflix.com","47.1, 45.26, 46.29, 43.62, 44.36, 47.19, 45.66, 48.1, 41.8, 55.11","2026-06-27","10","46.45"
"OpenDNS Primary DNS","www.hbomax.com","43.79, 47.23, 45.61, 51.47, 46.46, 48.44, 49.8, 47.83, 46.72, 46.5","2026-06-27","10","47.39"
"OpenDNS Secondary DNS","www.facebook.com","46.23, 46.59, 95.38, 87.71, 48.14, 46.9, 46.89, 47.55, 85.73, 44.98","2026-06-27","10","59.61"
"OpenDNS Secondary DNS","www.google.com","46.51, 52.3, 48.05, 45.63, 84.9, 48.66, 45.21, 45.61, 47.4, 47.47","2026-06-27","10","51.17"
"OpenDNS Secondary DNS","www.amazon.com","122.02, 47.4, 47.84, 43.2, 48.98, 101.91, 47.22, 46.1, 46.2, 46.36","2026-06-27","10","59.72"
"OpenDNS Secondary DNS","www.nos.nl","45.41, 54.94, 157.74, 221.21, 311.03, 46.58, 93.03, 46.75, 50.99, 43.59","2026-06-27","10","107.13"
"OpenDNS Secondary DNS","www.bbc.co.uk","47.29, 46.62, 44.34, 46.12, 256.59, 50.88, 47.08, 45.44, 45.34, 143.25","2026-06-27","10","77.3"
"OpenDNS Secondary DNS","www.github.com","43.4, 48.57, 51.33, 42.04, 47.71, 45.63, 47.16, 45.93, 46.37, 47.55","2026-06-27","10","46.57"
"OpenDNS Secondary DNS","www.netflix.com","45.3, 46.82, 45.88, 47.5, 46.94, 53.39, 45.47, 45.37, 45.34, 46.54","2026-06-27","10","46.86"
"OpenDNS Secondary DNS","www.hbomax.com","45.91, 46.2, 46.65, 46.87, 47.08, 44.81, 48.3, 51.32, 48.75, 42.72","2026-06-27","10","46.86"
"AdGuard DNS Primary DNS","www.facebook.com","272.55, 45.93, 44.88, 45.9, 45.36, 44.47, 42.46, 45.44, 45.29, 45.07","2026-06-27","10","67.73"
"AdGuard DNS Primary DNS","www.google.com","82.59, 45.65, 46.76, 44.72, 46, 42.05, 46.3, 46.19, 45.64, 46.96","2026-06-27","10","49.29"
"AdGuard DNS Primary DNS","www.amazon.com","96.03, 45.26, 44.46, 46.11, 45.86, 46.45, 49.19, 44.44, 46.64, 46.43","2026-06-27","10","51.09"
"AdGuard DNS Primary DNS","www.nos.nl","180.91, 43.51, 46.21, 43.48, 47.24, 45.03, 46.54, 52.1, 49.4, 59.55","2026-06-27","10","61.4"
"AdGuard DNS Primary DNS","www.bbc.co.uk","815.56, 48.32, 46.83, 45.98, 45.33, 46.02, 45.39, 47.05, 45.5, 45.78","2026-06-27","10","123.18"
"AdGuard DNS Primary DNS","www.github.com","155.41, 45.76, 45.18, 45.64, 46, 46.63, 44.8, 47.84, 47.87, 45.66","2026-06-27","10","57.08"
"AdGuard DNS Primary DNS","www.netflix.com","48.11, 45.92, 45.3, 47.94, 47.97, 46.89, 48.22, 47.32, 43.18, 45.36","2026-06-27","10","46.62"
"AdGuard DNS Primary DNS","www.hbomax.com","352.12, 46.09, 41.73, 45.83, 45.84, 45.99, 44.2, 46.36, 45.85, 46.64","2026-06-27","10","76.06"
"Adguard DNS Secondary DNS","www.facebook.com","44.69, 46.98, 45.06, 47.91, 45.8, 46.03, 47.37, 47.43, 44.73, 50.01","2026-06-27","10","46.6"
"Adguard DNS Secondary DNS","www.google.com","48.92, 47.93, 49.12, 44.9, 48.87, 43.56, 47.05, 44.31, 46.67, 44.03","2026-06-27","10","46.54"
"Adguard DNS Secondary DNS","www.amazon.com","45.5, 41.37, 40.92, 45.24, 42.85, 41.45, 45.65, 47.06, 44.6, 48.55","2026-06-27","10","44.32"
"Adguard DNS Secondary DNS","www.nos.nl","46.09, 46.38, 45.55, 45.96, 46.63, 46.17, 46.12, 42.25, 45.05, 44.84","2026-06-27","10","45.5"
"Adguard DNS Secondary DNS","www.bbc.co.uk","44.87, 47.75, 46.11, 46.01, 45.69, 46.59, 46.65, 49.37, 51.43, 45.09","2026-06-27","10","46.96"
"Adguard DNS Secondary DNS","www.github.com","46.15, 46.11, 49.97, 45.64, 45.96, 45.8, 45.18, 44.56, 46.44, 44.22","2026-06-27","10","46"
"Adguard DNS Secondary DNS","www.netflix.com","45.14, 45.12, 45.92, 48.61, 47.88, 47.18, 47.42, 47.09, 45.8, 47.21","2026-06-27","10","46.74"
"Adguard DNS Secondary DNS","www.hbomax.com","46.19, 43.52, 46.02, 47.38, 50.36, 47.62, 45.43, 49.04, 42.98, 48.15","2026-06-27","10","46.67"
